,TRAV1-1*01,TRAV1-1*02,TRAV1-2*01,TRAV1-2*02,TRAV10*01,TRAV11*01,TRAV12-1*01,TRAV12-1*02,TRAV12-2*01,TRAV12-2*02,TRAV12-2*03,TRAV12-3*01,TRAV12-3*02,TRAV13-1*01,TRAV13-1*02,TRAV13-1*03,TRAV13-2*01,TRAV13-2*02,TRAV14/DV4*01,TRAV14/DV4*02,TRAV14/DV4*03,TRAV14/DV4*04,TRAV16*01,TRAV17*01,TRAV18*01,TRAV19*01,TRAV2*01,TRAV2*02,TRAV20*01,TRAV20*02,TRAV20*03,TRAV20*04,TRAV21*01,TRAV21*02,TRAV22*01,TRAV23/DV6*01,TRAV23/DV6*02,TRAV23/DV6*03,TRAV23/DV6*04,TRAV24*01,TRAV24*02,TRAV25*01,TRAV26-1*01,TRAV26-1*02,TRAV26-1*03,TRAV26-2*01,TRAV26-2*02,TRAV27*01,TRAV27*02,TRAV27*03,TRAV29/DV5*01,TRAV29/DV5*02,TRAV3*01,TRAV30*01,TRAV30*02,TRAV30*03,TRAV30*04,TRAV34*01,TRAV35*01,TRAV35*02,TRAV36/DV7*01,TRAV36/DV7*02,TRAV36/DV7*03,TRAV36/DV7*04,TRAV38-1*01,TRAV38-1*02,TRAV38-1*03,TRAV38-1*04,TRAV38-2/DV8*01,TRAV39*01,TRAV4*01,TRAV40*01,TRAV41*01,TRAV5*01,TRAV6*01,TRAV6*02,TRAV6*03,TRAV6*04,TRAV6*05,TRAV6*06,TRAV7*01,TRAV8-1*01,TRAV8-1*02,TRAV8-2*01,TRAV8-2*02,TRAV8-3*01,TRAV8-3*02,TRAV8-3*03,TRAV8-4*01,TRAV8-4*02,TRAV8-4*03,TRAV8-4*04,TRAV8-4*05,TRAV8-4*06,TRAV8-4*07,TRAV8-6*01,TRAV8-6*02,TRAV8-7*01,TRAV9-1*01,TRAV9-2*01,TRAV9-2*02,TRAV9-2*03,TRAV9-2*04
TRAV8-3*03,59,59,62,47,76,69,54,54,61,61,61,50,50,60,60,60,60,60,62,62,62,62,44,59,54,49,47,47,59,59,59,59,62,62,57,62,62,62,62,74,74,65,58,58,58,53,53,61,61,61,62,62,36,67,67,67,67,67,66,66,62,66,66,66,67,67,67,67,67,63,52,45,54,59,70,70,70,70,70,69,58,29,29,38,38,0,0,0,35,35,34,35,35,35,26,36,36,46,63,63,63,63,63
TRAV8-4*01,57,57,59,42,67,66,59,59,63,63,59,50,50,59,59,59,58,58,61,61,61,61,38,51,45,57,44,44,52,52,52,52,59,59,47,62,62,62,62,60,60,60,58,58,58,57,57,62,62,62,53,53,37,68,68,68,68,68,62,62,52,56,56,56,60,60,60,60,60,62,59,36,52,57,66,66,66,66,66,66,52,51,51,12,12,35,35,35,0,0,7,0,0,16,15,25,25,35,52,48,48,48,48
TRAV8-4*02,57,57,59,42,67,66,59,59,63,63,59,50,50,59,59,59,58,58,61,61,61,61,38,51,45,57,44,44,52,52,52,52,59,59,47,62,62,62,62,60,60,60,58,58,58,57,57,62,62,62,53,53,37,68,68,68,68,68,62,62,52,56,56,56,60,60,60,60,60,62,59,36,52,57,66,66,66,66,66,66,52,51,51,12,12,35,35,35,0,0,7,0,0,16,15,25,25,35,52,48,48,48,48
TRAV8-4*03,57,57,59,42,68,70,62,62,66,66,62,53,53,62,62,62,61,61,64,64,64,64,38,54,45,60,44,44,59,59,59,59,63,63,50,62,62,62,62,60,60,61,58,58,58,54,54,55,55,55,56,56,30,64,64,64,64,64,66,66,56,60,60,60,61,61,61,61,61,65,59,36,55,60,66,66,66,66,66,66,59,50,50,19,19,34,34,34,7,7,0,7,7,23,8,24,24,32,56,52,52,52,52
TRAV8-4*04,57,57,59,42,67,66,59,59,63,63,59,50,50,59,59,59,58,58,61,61,61,61,38,51,45,57,44,44,52,52,52,52,59,59,47,62,62,62,62,60,60,60,58,58,58,57,57,62,62,62,53,53,37,68,68,68,68,68,62,62,52,56,56,56,60,60,60,60,60,62,59,36,52,57,66,66,66,66,66,66,52,51,51,12,12,35,35,35,0,0,7,0,0,16,15,25,25,35,52,48,48,48,48
TRAV8-4*05,57,57,59,42,67,66,59,59,63,63,59,50,50,59,59,59,58,58,61,61,61,61,38,51,45,57,44,44,52,52,52,52,59,59,47,62,62,62,62,60,60,60,58,58,58,57,57,62,62,62,53,53,37,68,68,68,68,68,62,62,52,56,56,56,60,60,60,60,60,62,59,36,52,57,66,66,66,66,66,66,52,51,51,12,12,35,35,35,0,0,7,0,0,16,15,25,25,35,52,48,48,48,48
TRAV8-4*06,62,62,64,47,71,66,64,64,63,63,63,59,59,67,67,67,67,67,66,66,66,66,38,59,56,62,48,48,56,56,56,56,63,63,55,68,68,68,68,68,68,63,63,63,63,62,62,66,66,66,63,63,45,70,70,70,70,70,66,66,53,57,57,57,69,69,69,69,69,64,64,41,55,65,71,71,71,71,71,71,56,47,47,20,20,35,35,35,16,16,23,16,16,0,19,41,41,35,54,50,50,50,50
TRAV8-4*07,54,54,56,39,60,62,59,59,58,58,58,50,50,58,58,58,58,58,61,61,61,61,34,58,45,53,36,36,51,51,51,51,59,59,54,56,56,56,56,60,60,60,51,51,51,47,47,55,55,55,54,54,22,62,62,62,62,62,66,66,45,52,49,49,58,58,58,58,58,63,52,33,50,56,63,63,63,63,63,63,51,42,42,19,19,26,26,26,15,15,8,15,15,19,0,28,28,28,50,46,46,46,46
TRAV8-6*01,58,58,57,41,71,67,51,51,55,55,51,49,49,51,51,51,50,50,57,57,57,57,34,50,44,57,45,45,56,56,56,56,59,59,49,58,58,58,58,62,62,60,52,52,52,51,51,56,56,56,50,50,28,56,56,56,56,63,65,65,58,62,62,62,60,61,60,60,61,57,57,48,51,51,69,69,69,69,69,69,56,42,42,29,29,36,36,36,25,25,24,25,25,41,28,0,0,44,60,62,62,62,62
TRAV8-6*02,58,58,57,41,71,67,51,51,55,55,51,49,49,51,51,51,50,50,57,57,57,57,34,50,44,57,45,45,56,56,56,56,59,59,49,58,58,58,58,62,62,60,52,52,52,51,51,56,56,56,50,50,28,56,56,56,56,63,65,65,58,62,62,62,60,61,60,60,61,57,57,48,51,51,69,69,69,69,69,69,56,42,42,29,29,36,36,36,25,25,24,25,25,41,28,0,0,44,60,62,62,62,62
TRAV8-7*01,53,53,54,37,71,67,59,59,58,58,62,58,58,66,66,66,66,66,61,61,61,61,30,56,49,61,43,43,52,52,52,52,58,58,53,65,65,65,65,67,67,59,59,59,59,55,55,56,56,56,63,63,40,59,59,59,59,67,67,67,58,62,62,62,62,62,62,62,62,62,64,39,58,64,74,74,74,74,74,74,58,53,53,31,31,46,46,46,35,35,32,35,35,35,28,44,44,0,51,49,49,49,49
TRAV9-1*01,60,60,60,38,63,65,63,63,59,59,59,62,62,70,70,70,63,63,62,62,62,62,44,61,54,58,48,48,56,56,56,56,67,67,62,64,64,64,64,64,64,53,50,50,50,55,55,64,64,64,60,60,54,57,57,57,57,59,60,60,54,58,58,58,60,60,60,60,60,61,54,38,57,66,74,74,74,74,74,74,53,67,67,48,48,63,63,63,52,52,56,52,52,54,50,60,60,51,0,15,15,15,15
TRAV9-2*01,57,57,58,36,57,65,64,64,58,58,62,63,63,70,70,70,63,63,66,64,66,64,41,63,56,60,47,47,52,52,52,52,67,67,62,64,64,64,64,60,60,58,56,56,56,61,61,65,65,65,59,59,54,59,59,59,59,59,60,60,50,54,54,54,66,66,66,66,66,67,54,30,56,66,72,72,72,72,72,72,54,63,63,44,44,63,63,63,48,48,52,48,48,50,46,62,62,49,15,0,0,0,0
TRAV9-2*02,57,57,58,36,57,65,64,64,58,58,62,63,63,70,70,70,63,63,66,64,66,64,41,63,56,60,47,47,52,52,52,52,67,67,62,64,64,64,64,60,60,58,56,56,56,61,61,65,65,65,59,59,54,59,59,59,59,59,60,60,50,54,54,54,66,66,66,66,66,67,54,30,56,66,72,72,72,72,72,72,54,63,63,44,44,63,63,63,48,48,52,48,48,50,46,62,62,49,15,0,0,0,0
TRAV9-2*03,57,57,58,36,57,65,64,64,58,58,62,63,63,70,70,70,63,63,66,64,66,64,41,63,56,60,47,47,52,52,52,52,67,67,62,64,64,64,64,60,60,58,56,56,56,61,61,65,65,65,59,59,54,59,59,59,59,59,60,60,50,54,54,54,66,66,66,66,66,67,54,30,56,66,72,72,72,72,72,72,54,63,63,44,44,63,63,63,48,48,52,48,48,50,46,62,62,49,15,0,0,0,0
TRAV9-2*04,57,57,58,36,57,65,64,64,58,58,62,63,63,70,70,70,63,63,66,64,66,64,41,63,56,60,47,47,52,52,52,52,67,67,62,64,64,64,64,60,60,58,56,56,56,61,61,65,65,65,59,59,54,59,59,59,59,59,60,60,50,54,54,54,66,66,66,66,66,67,54,30,56,66,72,72,72,72,72,72,54,63,63,44,44,63,63,63,48,48,52,48,48,50,46,62,62,49,15,0,0,0,0
